"Date","Price","Open","High","Low","Vol.","Change %"
"09/05/2023","128.260","127.400","128.880","127.080","1.24M","0.20%"
"09/04/2023","128.000","128.180","128.580","127.360","1.01M","-0.16%"
"09/01/2023","128.200","129.020","129.680","127.940","1.17M","-0.48%"
"08/31/2023","128.820","129.240","130.240","128.420","2.62M","-0.02%"
"08/30/2023","128.840","128.440","128.980","127.420","1.07M","0.03%"
"08/29/2023","128.800","127.840","129.080","127.260","1.44M","0.74%"
"08/28/2023","127.860","127.600","128.200","126.560","1.98M","1.35%"
"08/25/2023","126.160","126.200","127.240","125.660","1.96M","0.11%"
"08/24/2023","126.020","129.000","129.980","125.780","2.51M","-2.22%"
"08/23/2023","128.880","127.980","128.940","127.340","1.78M","1.00%"
"08/22/2023","127.600","125.680","128.440","125.400","2.16M","2.10%"
"08/21/2023","124.980","124.140","126.240","123.900","1.77M","0.64%"
"08/18/2023","124.180","124.000","124.340","122.700","2.25M","0.23%"
"08/17/2023","123.900","126.000","126.580","123.880","2.27M","-2.53%"
"08/16/2023","127.120","126.180","127.320","125.980","1.85M","0.74%"
"08/15/2023","126.180","127.040","127.240","125.600","1.73M","-0.76%"
"08/14/2023","127.140","125.520","127.240","125.360","1.75M","1.55%"
"08/11/2023","125.200","125.280","125.600","124.480","1.58M","-0.40%"
"08/10/2023","125.700","124.020","126.520","123.800","1.71M","2.01%"
"08/09/2023","123.220","122.840","124.160","122.440","1.35M","0.85%"
"08/08/2023","122.180","122.800","123.400","121.380","1.33M","-0.52%"
"08/07/2023","122.820","121.300","123.480","121.300","1.07M","1.04%"
"08/04/2023","121.560","121.200","121.880","120.040","1.18M","0.56%"
"08/03/2023","120.880","121.960","122.720","120.680","1.25M","-1.24%"
"08/02/2023","122.400","123.020","123.940","122.220","1.52M","-1.34%"
"08/01/2023","124.060","124.220","124.740","123.240","1.38M","-0.27%"
"07/31/2023","124.400","123.500","124.920","123.300","1.25M","0.66%"
"07/28/2023","123.580","122.700","124.020","122.440","1.59M","0.23%"
"07/27/2023","123.300","119.700","123.680","119.440","2.47M","3.32%"
"07/26/2023","119.340","120.340","120.540","118.520","1.58M","-0.88%"
"07/25/2023","120.400","119.720","120.560","119.040","1.37M","0.52%"
"07/24/2023","119.780","120.500","121.640","119.580","1.66M","-1.07%"
"07/21/2023","121.080","121.200","122.520","119.340","3.83M","-4.19%"
"07/20/2023","126.380","126.880","127.060","125.340","1.85M","-1.27%"
"07/19/2023","128.000","129.000","129.540","127.620","1.59M","-0.17%"
"07/18/2023","128.220","128.360","128.840","127.580","999.20K","-0.14%"
"07/17/2023","128.400","127.980","128.500","126.840","900.06K","-0.25%"
"07/14/2023","128.720","128.000","128.940","127.280","1.19M","0.63%"
"07/13/2023","127.920","126.380","128.360","126.040","1.89M","1.94%"
"07/12/2023","125.480","123.680","125.720","123.000","1.73M","1.92%"
"07/11/2023","123.120","123.020","123.600","122.180","1.06M","0.65%"
"07/10/2023","122.320","120.580","122.540","120.580","1.11M","0.72%"
"07/07/2023","121.440","121.180","122.380","120.640","1.45M","0.07%"
"07/06/2023","121.360","123.500","124.080","120.960","1.84M","-1.32%"
"07/05/2023","122.980","122.200","123.440","122.180","1.06M","-0.34%"
"07/04/2023","123.400","122.900","123.920","122.800","473.11K","0.23%"
"07/03/2023","123.120","124.460","125.600","122.700","1.40M","-1.61%"
"06/30/2023","125.140","123.300","125.140","122.880","2.15M","1.43%"
"06/29/2023","123.380","123.180","124.300","122.740","1.13M","-0.02%"
"06/28/2023","123.400","121.480","123.740","121.160","1.20M","2.15%"
"06/27/2023","120.800","121.440","121.700","120.580","1.17M","-0.67%"
"06/26/2023","121.620","123.160","123.160","121.300","1.29M","-0.78%"
"06/23/2023","122.580","123.220","123.980","122.480","1.40M","-0.42%"
"06/22/2023","123.100","122.780","123.240","121.380","1.10M","0.08%"
"06/21/2023","123.000","124.020","124.420","122.780","1.27M","-1.27%"
"06/20/2023","124.580","125.300","125.660","124.280","1.28M","-0.46%"
"06/19/2023","125.160","125.320","125.720","124.380","958.85K","-1.09%"
"06/16/2023","126.540","125.260","127.200","125.160","7.93M","1.41%"
"06/15/2023","124.780","125.140","125.440","122.900","1.37M","-0.56%"
"06/14/2023","125.480","124.400","125.540","124.060","1.46M","0.18%"
"06/13/2023","125.260","125.000","125.700","123.740","1.84M","1.28%"
"06/12/2023","123.680","123.620","123.780","122.140","1.51M","0.39%"
"06/09/2023","123.200","123.620","124.060","122.460","1.27M","-0.32%"
"06/08/2023","123.600","121.900","123.600","121.220","1.11M","0.08%"
"06/07/2023","123.500","123.560","124.280","122.880","1.40M","0.08%"
"06/06/2023","123.400","122.840","124.240","122.800","1.08M","0.26%"
"06/05/2023","123.080","123.540","124.260","122.720","1.14M","-1.03%"
"06/02/2023","124.360","123.120","124.420","122.960","2.08M","1.20%"
"06/01/2023","122.880","122.840","123.540","121.860","1.42M","0.57%"
"05/31/2023","122.180","121.780","123.220","121.120","6.65M","0.08%"
"05/30/2023","122.080","122.080","123.460","121.860","1.23M","0.16%"
